state,price
California,422939
Texas,162627
Florida,182926
New York,258573
Pennsylvania,166724
Illinois,175257
Ohio,119271
Georgia,153336
North Carolina,162947
Michigan,124940
New Jersey,302810
Virginia,252717
Washington,271726
Arizona,192178
Massachusetts,345032
Tennessee,146508
Indiana,124274
Missouri,133377
Maryland,279300
Wisconsin,153572
Colorado,278988
Minnesota,196823
South Carolina,156293
Alabama,126904
Louisiana,156558
Kentucky,119818
Oregon,263133
Oklahoma,115208
Connecticut,240476
Iowa,132817
Utah,243071
Arkansas,112999
Mississippi,111196
Nevada,203607
Kansas,130907
New Mexico,171738
Nebraska,143254
West Virginia,100583
Idaho,184015
Hawaii,555072
New Hampshire,230464
Maine,190965
Rhode Island,240772
Montana,231270
Delaware,228629
South Dakota,174613
North Dakota,218803
Alaska,261023
District of Columbia,517843
Vermont,231625
Wyoming,231079
