country,tertemp,secemp
Australia,85.51,79.10
Austria,86.19,75.87
Belgium,86.88,72.77
Canada,82.03,72.43
Chile,80.03,62.62
Colombia,77.35,68.12
Costa Rica,80.99,65.82
Czech Republic,86.52,83.44
Denmark,87.68,81.85
Estonia,87.26,79.32
Finland,87.75,76.82
France,86.30,74.27
Germany,88.34,81.66
Greece,76.14,62.99
Hungary,90.70,82.49
Iceland,89.10,82.32
Ireland,85.68,72.29
Israel,86.75,70.15
Italy,82.15,70.30
Korea,77.47,69.97
Latvia,85.94,73.40
Lithuania,89.88,73.17
Luxembourg,85.92,72.29
Mexico,78.30,69.29
Netherlands,89.03,82.93
New Zealand,88.98,83.29
Norway,89.34,81.23
Poland,90.83,73.68
Portugal,89.74,82.28
Slovak Republic,87.93,78.84
Slovenia,89.71,75.47
Spain,81.43,70.65
Sweden,89.12,84.05
Switzerland,88.96,81.52
United Kingdom,86.31,79.49
United States,80.60,66.74
