,price,item,date,year
0,26.9,Bottle of wine,01-01-2020,2020
1,3.3499999,Vodka per nip,01-01-2020,2020
2,4.6999998,Draught Bitter,01-01-2020,2020
3,4.0500002,Vodka per nip,01-01-2020,2020
4,19.5,Bottle of wine,01-01-2020,2020
5,6.25,Premium Lager,01-01-2020,2020
6,3.5,Whiskey per nip,01-01-2020,2020
7,17.950001,Bottle of wine,01-01-2020,2020
8,4.6999998,Bottled Premium Lager,01-01-2020,2020
9,5.1500001,Draught Bitter,01-01-2020,2020
10,5.75,Premium Lager,01-01-2020,2020
11,24.950001,Bottle of wine,01-01-2020,2020
12,2.0999999,Draught Bitter,01-01-2020,2020
13,20.4,Bottle of wine,01-01-2020,2020
14,17.950001,Bottle of wine,01-01-2020,2020
15,2.8,Vodka per nip,01-01-2020,2020
16,4.25,Draught Stout,01-01-2020,2020
17,5.0999999,Premium Lager,01-01-2020,2020
18,5.1999998,Premium Lager,01-01-2020,2020
19,19.950001,Bottle of wine,01-01-2020,2020
20,4.5,Vodka per nip,01-01-2020,2020
21,3.0999999,Whiskey per nip,01-01-2020,2020
22,4.0,Bottled Premium Lager,01-01-2020,2020
23,4.9499998,Wine per serving,01-01-2020,2020
24,4.25,Premium Lager,01-01-2020,2020
25,3.3900001,Premium Lager,01-01-2020,2020
26,3.5,Vodka per nip,01-01-2020,2020
27,1.99,Draught Bitter,01-01-2020,2020
28,4.3499999,Wine per serving,01-01-2020,2020
29,25.0,Bottle of wine,01-01-2020,2020
30,4.3499999,Whiskey per nip,01-01-2020,2020
31,3.9000001,Lager,01-01-2020,2020
32,5.1500001,Lager,01-01-2020,2020
33,20.950001,Bottle of wine,01-01-2020,2020
34,34.990002,Bottle of Brandy,01-01-2020,2020
35,16.5,Bottle of wine,01-01-2020,2020
36,2.95,Vodka per nip,01-01-2020,2020
37,4.5999999,Draught Bitter,01-01-2020,2020
38,4.0,Draught Bitter,01-01-2020,2020
39,5.0,Wine per serving,01-01-2020,2020
40,3.3499999,Draught Bitter,01-01-2020,2020
41,2.6500001,Lager,01-01-2020,2020
42,4.1999998,Bottled Premium Lager,01-01-2020,2020
43,23.0,Bottle of wine,01-01-2020,2020
44,5.0999999,Premium Lager,01-01-2020,2020
45,5.4499998,Draught Stout,01-01-2020,2020
46,3.3499999,Bottled Premium Lager,01-01-2020,2020
