,country,Year,democracy score,years of schooling
1,Afghanistan,1789,0.018,0.72
2,Afghanistan,1790,0.018,0.72
3,Afghanistan,1791,0.018,0.72
4,Afghanistan,1792,0.018,0.72
5,Afghanistan,1793,0.018,0.72
6,Afghanistan,1794,0.018,0.72
7,Afghanistan,1795,0.018,0.72
8,Afghanistan,1796,0.018,0.72
9,Afghanistan,1797,0.018,0.72
10,Afghanistan,1798,0.018,0.72
11,Afghanistan,1799,0.018,0.72
12,Afghanistan,1800,0.018,0.72
13,Afghanistan,1801,0.018,0.72
14,Afghanistan,1802,0.018,0.72
15,Afghanistan,1803,0.018,0.72
16,Afghanistan,1804,0.018,0.72
17,Afghanistan,1805,0.018,0.72
18,Afghanistan,1806,0.018,0.72
19,Afghanistan,1807,0.018,0.72
20,Afghanistan,1808,0.018,0.72
21,Afghanistan,1809,0.018,0.72
22,Afghanistan,1810,0.018,0.72
23,Afghanistan,1811,0.018,0.72
24,Afghanistan,1812,0.018,0.72
25,Afghanistan,1813,0.018,0.72
26,Afghanistan,1814,0.018,0.72
27,Afghanistan,1815,0.018,0.72
28,Afghanistan,1816,0.018,0.72
29,Afghanistan,1817,0.018,0.72
30,Afghanistan,1818,0.018,0.72
31,Afghanistan,1819,0.018,0.72
32,Afghanistan,1820,0.018,0.72
33,Afghanistan,1821,0.018,0.72
34,Afghanistan,1822,0.018,0.72
35,Afghanistan,1823,0.018,0.72
36,Afghanistan,1824,0.018,0.72
37,Afghanistan,1825,0.018,0.72
38,Afghanistan,1826,0.018,0.72
39,Afghanistan,1827,0.018,0.72
40,Afghanistan,1828,0.018,0.72
41,Afghanistan,1829,0.018,0.72
42,Afghanistan,1830,0.018,0.72
43,Afghanistan,1831,0.018,0.72
44,Afghanistan,1832,0.018,0.72
45,Afghanistan,1833,0.018,0.72
46,Afghanistan,1834,0.018,0.72
47,Afghanistan,1835,0.018,0.72
48,Afghanistan,1836,0.018,0.72
49,Afghanistan,1837,0.018,0.72
50,Afghanistan,1838,0.018,0.72
51,Afghanistan,1839,0.018,0.72
52,Afghanistan,1840,0.018,0.72
53,Afghanistan,1841,0.018,0.72
54,Afghanistan,1842,0.018,0.72
55,Afghanistan,1843,0.018,0.72
56,Afghanistan,1844,0.018,0.72
57,Afghanistan,1845,0.018,0.72
58,Afghanistan,1846,0.018,0.72
59,Afghanistan,1847,0.018,0.72
60,Afghanistan,1848,0.018,0.72
61,Afghanistan,1849,0.018,0.72
62,Afghanistan,1850,0.018,0.72
63,Afghanistan,1851,0.018,0.72
64,Afghanistan,1852,0.018,0.72
65,Afghanistan,1853,0.018,0.72
66,Afghanistan,1854,0.018,0.72
67,Afghanistan,1855,0.018,0.72
68,Afghanistan,1856,0.018,0.72
69,Afghanistan,1857,0.018,0.72
70,Afghanistan,1858,0.018,0.72
71,Afghanistan,1859,0.018,0.72
72,Afghanistan,1860,0.018,0.72
73,Afghanistan,1861,0.018,0.72
74,Afghanistan,1862,0.018,0.72
75,Afghanistan,1863,0.018,0.72
76,Afghanistan,1864,0.018,0.72
77,Afghanistan,1865,0.018,0.72
78,Afghanistan,1866,0.018,0.72
79,Afghanistan,1867,0.018,0.72
80,Afghanistan,1868,0.018,0.72
81,Afghanistan,1869,0.018,0.72
82,Afghanistan,1870,0.018,0.72
83,Afghanistan,1871,0.018,0.72
84,Afghanistan,1872,0.018,0.72
85,Afghanistan,1873,0.018,0.72
86,Afghanistan,1874,0.018,0.72
87,Afghanistan,1875,0.018,0.72
88,Afghanistan,1876,0.018,0.72
89,Afghanistan,1877,0.018,0.72
90,Afghanistan,1878,0.018,0.72
91,Afghanistan,1879,0.018,0.72
92,Afghanistan,1880,0.018,0.72
93,Afghanistan,1881,0.018,0.72
94,Afghanistan,1882,0.018,0.72
95,Afghanistan,1883,0.018,0.72
96,Afghanistan,1884,0.018,0.72
97,Afghanistan,1885,0.018,0.72
98,Afghanistan,1886,0.018,0.72
99,Afghanistan,1887,0.018,0.72
100,Afghanistan,1888,0.018,0.72
101,Afghanistan,1889,0.018,0.72
102,Afghanistan,1890,0.018,0.72
103,Afghanistan,1891,0.018,0.72
104,Afghanistan,1892,0.018,0.72
105,Afghanistan,1893,0.018,0.72
106,Afghanistan,1894,0.018,0.72
107,Afghanistan,1895,0.018,0.72
108,Afghanistan,1896,0.018,0.72
109,Afghanistan,1897,0.018,0.72
110,Afghanistan,1898,0.018,0.72
111,Afghanistan,1899,0.018,0.72
112,Afghanistan,1900,0.017,0.72
113,Afghanistan,1901,0.017,0.72
114,Afghanistan,1902,0.021,0.72
115,Afghanistan,1903,0.021,0.72
116,Afghanistan,1904,0.021,0.72
117,Afghanistan,1905,0.021,0.72
118,Afghanistan,1906,0.021,0.72
119,Afghanistan,1907,0.021,0.72
120,Afghanistan,1908,0.021,0.72
121,Afghanistan,1909,0.021,0.72
122,Afghanistan,1910,0.023,0.72
123,Afghanistan,1911,0.023,0.72
124,Afghanistan,1912,0.023,0.72
125,Afghanistan,1913,0.023,0.72
126,Afghanistan,1914,0.023,0.72
127,Afghanistan,1915,0.023,0.72
128,Afghanistan,1916,0.023,0.72
129,Afghanistan,1917,0.023,0.72
130,Afghanistan,1918,0.023,0.72
131,Afghanistan,1919,0.026,0.72
132,Afghanistan,1920,0.034,0.72
133,Afghanistan,1921,0.037,0.72
134,Afghanistan,1922,0.037,0.72
135,Afghanistan,1923,0.036,0.72
136,Afghanistan,1924,0.112,0.72
137,Afghanistan,1925,0.11,0.72
138,Afghanistan,1926,0.11,0.72
139,Afghanistan,1927,0.11,0.72
140,Afghanistan,1928,0.11,0.72
141,Afghanistan,1929,0.103,0.72
142,Afghanistan,1930,0.101,0.72
143,Afghanistan,1931,0.115,0.72
144,Afghanistan,1932,0.084,0.72
145,Afghanistan,1933,0.084,0.72
146,Afghanistan,1934,0.085,0.72
147,Afghanistan,1935,0.085,0.72
148,Afghanistan,1936,0.085,0.72
149,Afghanistan,1937,0.085,0.72
150,Afghanistan,1938,0.088,0.72
151,Afghanistan,1939,0.088,0.72
152,Afghanistan,1940,0.086,0.72
153,Afghanistan,1941,0.086,0.72
154,Afghanistan,1942,0.086,0.72
155,Afghanistan,1943,0.083,0.72
156,Afghanistan,1944,0.083,0.72
157,Afghanistan,1945,0.083,0.72
158,Afghanistan,1946,0.088,0.72
159,Afghanistan,1947,0.089,0.72
160,Afghanistan,1948,0.089,0.72
161,Afghanistan,1949,0.093,0.72
162,Afghanistan,1950,0.099,0.72
163,Afghanistan,1951,0.099,0.72
164,Afghanistan,1952,0.088,0.72
165,Afghanistan,1953,0.085,0.72
166,Afghanistan,1954,0.079,0.72
167,Afghanistan,1955,0.081,0.72
168,Afghanistan,1956,0.081,0.72
169,Afghanistan,1957,0.081,0.72
170,Afghanistan,1958,0.079,0.72
171,Afghanistan,1959,0.079,0.72
172,Afghanistan,1960,0.081,0.72
173,Afghanistan,1961,0.083,0.72
174,Afghanistan,1962,0.083,0.72
175,Afghanistan,1963,0.086,0.72
176,Afghanistan,1964,0.098,0.72
177,Afghanistan,1965,0.148,0.72
178,Afghanistan,1966,0.163,0.72
179,Afghanistan,1967,0.165,0.72
180,Afghanistan,1968,0.165,0.72
181,Afghanistan,1969,0.164,0.72
182,Afghanistan,1970,0.16,0.72
183,Afghanistan,1971,0.16,0.72
184,Afghanistan,1972,0.157,0.72
185,Afghanistan,1973,0.15,0.72
186,Afghanistan,1974,0.103,0.72
187,Afghanistan,1975,0.104,0.72
188,Afghanistan,1976,0.104,0.72
189,Afghanistan,1977,0.099,0.72
190,Afghanistan,1978,0.086,0.72
191,Afghanistan,1979,0.085,0.72
192,Afghanistan,1980,0.083,0.72
193,Afghanistan,1981,0.083,0.72
194,Afghanistan,1982,0.083,0.72
195,Afghanistan,1983,0.084,0.72
196,Afghanistan,1984,0.084,0.72
197,Afghanistan,1985,0.084,0.72
198,Afghanistan,1986,0.084,0.72
199,Afghanistan,1987,0.083,0.72
200,Afghanistan,1988,0.09,0.72
201,Afghanistan,1989,0.094,0.72
202,Afghanistan,1990,0.093,0.72
203,Afghanistan,1991,0.093,0.72
204,Afghanistan,1992,0.091,0.72
205,Afghanistan,1993,0.091,0.72
206,Afghanistan,1994,0.091,0.72
207,Afghanistan,1995,0.091,0.72
208,Afghanistan,1996,0.083,0.72
209,Afghanistan,1997,0.072,0.72
210,Afghanistan,1998,0.072,0.72
211,Afghanistan,1999,0.072,0.72
212,Afghanistan,2000,0.072,0.72
213,Afghanistan,2001,0.079,0.72
214,Afghanistan,2002,0.223,0.72
215,Afghanistan,2003,0.231,0.72
216,Afghanistan,2004,0.254,0.72
217,Afghanistan,2005,0.336,0.72
218,Afghanistan,2006,0.395,0.72
219,Afghanistan,2007,0.395,0.72
220,Afghanistan,2008,0.4,0.72
221,Afghanistan,2009,0.392,0.72
222,Afghanistan,2010,0.377,0.72
223,Afghanistan,2011,0.375,0.72
224,Afghanistan,2012,0.377,0.72
225,Afghanistan,2013,0.38,0.72
226,Afghanistan,2014,0.379,0.72
227,Afghanistan,2015,0.378,0.72
228,Afghanistan,2016,0.354,0.72
229,Afghanistan,2017,0.353,0.72
230,Afghanistan,2018,0.352,0.72
231,Afghanistan,2019,0.351,0.72
232,Afghanistan,2020,0.351,0.72
233,Afghanistan,2021,0.16,0.72
540,Albania,1914,0.097,4.63
541,Albania,1915,0.081,4.63
542,Albania,1916,0.094,4.63
543,Albania,1917,0.094,4.63
544,Albania,1918,0.095,4.63
545,Albania,1919,0.134,4.63
546,Albania,1920,0.119,4.63
547,Albania,1921,0.213,4.63
548,Albania,1922,0.225,4.63
549,Albania,1923,0.208,4.63
550,Albania,1924,0.147,4.63
551,Albania,1925,0.165,4.63
552,Albania,1926,0.17,4.63
553,Albania,1927,0.172,4.63
554,Albania,1928,0.171,4.63
