,country,Code,Year,tertiary percentage,secondary percentage,primary percentage
0,Albania,ALB,2000,3.51,71.4527969360352,95.8898773193359
1,Albania,ALB,2010,0.93,88.4116363525391,92.8130035400391
2,Algeria,DZA,1975,0.38,16.0282707214355,73.81182861328129
3,Algeria,DZA,1980,0.77,30.065149307251,79.61676025390629
4,Algeria,DZA,1985,1.34,45.086509704589794,80.24537658691409
5,Algeria,DZA,1990,1.97,59.1210517883301,85.3903884887695
6,Algeria,DZA,1995,2.53,58.33716964721671,87.8834075927734
7,Algeria,DZA,2000,3.4,64.72483062744139,90.5237197875977
8,Algeria,DZA,2005,3.78,78.7822265625,95.5387573242188
9,Algeria,DZA,2010,6.66,97.1719207763672,98.6604766845703
10,Argentina,ARG,1970,2.52,44.50373840332029,94.9729385375977
11,Argentina,ARG,1975,3.64,53.8758888244629,96.38580322265628
12,Argentina,ARG,2000,3.1,96.5234527587891,99.7603530883789
13,Argentina,ARG,2005,3.09,94.005989074707,99.5558624267578
14,Argentina,ARG,2010,2.87,101.801116943359,99.3311996459961
15,Armenia,ARM,2005,11.51,91.05856323242192,87.5530319213867
16,Australia,AUS,1995,15.87,142.507705688477,94.5284423828125
17,Australia,AUS,2000,13.15,162.610046386719,94.12448120117192
18,Australia,AUS,2005,15.63,148.366104125977,98.45733642578128
19,Australia,AUS,2010,18.52,132.456695556641,99.4950790405273
20,Bahrain,BHR,1975,2.45,58.619010925293,85.2412567138672
21,Bahrain,BHR,1980,3.39,58.995521545410206,82.43894958496091
22,Bahrain,BHR,1985,6.28,92.2691421508789,91.1168975830078
23,Bahrain,BHR,1995,9.17,106.128356933594,99.1021881103516
24,Bangladesh,BGD,1985,1.08,20.144119262695305,61.233180999755895
25,Bangladesh,BGD,1990,1.44,20.400520324707,72.464599609375
26,Bangladesh,BGD,2005,2.11,45.516788482666,95.37301635742192
27,Bangladesh,BGD,2010,2.28,50.1194190979004,94.547737121582
28,Barbados,BRB,1990,2.07,85.429573059082,97.60317993164058
29,Barbados,BRB,2000,0.66,103.61897277832,97.7173614501953
30,Barbados,BRB,2005,1.53,108.550003051758,92.1272125244141
31,Barbados,BRB,2010,2.07,101.902473449707,97.90988159179692
32,Belgium,BEL,1980,9.04,89.71105194091801,99.6944198608398
33,Belgium,BEL,1985,11.2,99.0661087036133,93.2914810180664
34,Belgium,BEL,1995,14.51,146.14074707031298,96.3357315063477
35,Belgium,BEL,2000,14.95,144.674713134766,100.0
36,Belgium,BEL,2005,15.82,108.354248046875,97.5585403442383
37,Belgium,BEL,2010,17.69,105.78588104248,99.6263198852539
38,Belize,BLZ,2000,3.33,67.9743728637695,96.5792922973633
39,Belize,BLZ,2005,3.2,76.5187072753906,95.184928894043
40,Belize,BLZ,2010,3.18,75.3597869873047,98.2406616210938
41,Benin,BEN,1985,0.41,18.6992893218994,50.41601181030271
42,Bolivia,BOL,2000,5.27,71.0725479125977,99.550163269043
43,Botswana,BWA,1970,0.28,6.27089023590088,43.638671875
44,Botswana,BWA,1975,0.25,14.577249526977502,56.6987380981445
45,Botswana,BWA,1980,0.19,18.4916706085205,72.6619567871094
46,Botswana,BWA,1985,1.09,28.0736598968506,83.1536636352539
47,Botswana,BWA,1990,1.52,39.7668113708496,85.6291122436523
48,Botswana,BWA,1995,1.9,56.891719818115206,77.342399597168
49,Botswana,BWA,2000,1.73,75.21376037597659,81.91937255859379
50,Botswana,BWA,2005,1.79,78.5254898071289,85.9988021850586
51,Brazil,BRA,2005,3.73,101.2919921875,96.0799331665039
52,Brunei,BRN,1980,3.65,60.7679214477539,82.3609085083008
53,Brunei,BRN,2005,5.65,97.63583374023442,99.9605026245117
54,Brunei,BRN,2010,6.51,99.2443237304688,99.5082778930664
55,Bulgaria,BGR,2000,9.79,92.5642471313477,98.4506072998047
56,Bulgaria,BGR,2005,11.76,90.4507217407227,94.01400756835942
57,Bulgaria,BGR,2010,13.07,90.42465209960942,99.6329574584961
58,Burundi,BDI,1980,0.19,2.60469007492065,19.170129776001
59,Burundi,BDI,1985,0.25,3.6486599445343,39.65439987182621
60,Burundi,BDI,2005,0.34,12.6990098953247,56.4940414428711
61,Burundi,BDI,2010,0.54,22.8243103027344,91.5841293334961
62,Cambodia,KHM,2000,0.23,17.2312793731689,92.8257598876953
63,Cameroon,CMR,1975,0.15,11.8070001602173,63.6121101379395
64,Cameroon,CMR,1980,0.18,16.641649246215803,66.2570724487305
65,Cameroon,CMR,1990,0.45,25.4520702362061,72.02024841308591
66,Canada,CAN,1985,8.14,98.6762237548828,94.6626205444336
67,Canada,CAN,1990,9.93,99.2891006469727,95.2760467529297
68,Canada,CAN,1995,11.54,104.601043701172,94.2607803344727
69,Canada,CAN,2000,13.89,101.520088195801,99.9220504760742
70,Central African Rep.,CAF,1990,0.87,11.419810295105,57.4131011962891
71,Chile,CHL,2010,5.92,94.5737075805664,96.7335662841797
72,China,CHN,1990,1.08,37.3150405883789,96.84793090820308
73,China,CHN,1995,1.97,51.203731536865206,92.3021774291992
74,Colombia,COL,1985,5.54,45.147098541259794,67.64785003662111
75,Colombia,COL,1995,8.61,61.2564506530762,81.035400390625
76,Colombia,COL,2000,8.66,69.93157958984379,100.0
77,Colombia,COL,2005,6.6,83.40794372558591,99.9574737548828
78,Colombia,COL,2010,18.55,102.020622253418,99.63916778564447
79,Congo,COG,1980,1.09,59.7889595031738,88.97238159179692
80,Costa Rica,CRI,1970,1.75,28.484939575195305,87.6656875610352
81,Costa Rica,CRI,1975,3.62,41.7703094482422,90.2697296142578
82,Costa Rica,CRI,1980,5.5,46.9567794799805,89.21460723876949
83,Costa Rica,CRI,1985,7.39,40.546600341796896,86.0849075317383
84,Costa Rica,CRI,1990,9.71,43.7034111022949,87.7338027954102
85,Costa Rica,CRI,1995,11.94,50.467288970947294,92.44824981689447
86,Croatia,HRV,2000,6.29,85.527473449707,93.98873901367192
87,Croatia,HRV,2005,8.73,93.1465225219727,99.0032424926758
88,Croatia,HRV,2010,11.04,100.713912963867,94.8833465576172
89,Cuba,CUB,1980,3.51,77.5809020996094,97.6105117797852
90,Cuba,CUB,1985,3.64,82.0865097045898,91.2409515380859
91,Cuba,CUB,1990,4.4,89.1097183227539,92.4929885864258
92,Cuba,CUB,1995,5.28,76.1151580810547,97.24420166015628
93,Cuba,CUB,2000,5.59,83.4091262817383,98.2787704467773
94,Cuba,CUB,2005,8.32,92.6437835693359,95.0228424072266
95,Cuba,CUB,2010,13.32,91.8892669677734,99.7892532348633
96,Cyprus,CYP,1975,3.38,63.4163513183594,71.21983337402341
97,Cyprus,CYP,1980,5.79,68.3632431030273,68.7344512939453
98,Cyprus,CYP,1985,8.7,72.3752975463867,69.16623687744139
99,Cyprus,CYP,1990,11.57,64.1650314331055,78.8220977783203
100,Cyprus,CYP,1995,14.6,94.8461685180664,96.2129974365234
101,Cyprus,CYP,2000,15.89,93.3721389770508,98.2091293334961
102,Cyprus,CYP,2005,14.51,96.5432815551758,99.97486114501947
103,Cyprus,CYP,2010,20.75,91.440803527832,99.965446472168
104,Dem. Rep. Congo,COD,1975,0.2,15.283949851989698,70.22415161132811
105,Dem. Rep. Congo,COD,1995,0.65,27.9294300079346,66.0308074951172
106,Denmark,DNK,1985,9.33,103.589210510254,98.8461685180664
107,Denmark,DNK,1990,8.48,109.528022766113,97.740966796875
108,Denmark,DNK,1995,10.37,117.942459106445,98.3201675415039
109,Denmark,DNK,2000,12.31,127.054298400879,99.9333267211914
110,Denmark,DNK,2005,14.53,124.180923461914,98.6472702026367
111,Denmark,DNK,2010,14.98,119.569389343262,98.81934356689447
112,Dominican Republic,DOM,2000,2.78,59.037380218505895,86.4674530029297
113,Dominican Republic,DOM,2005,2.55,69.7449798583984,84.9076690673828
114,Dominican Republic,DOM,2010,2.06,76.0154571533203,92.80663299560553
115,Ecuador,ECU,1975,1.33,35.6312408447266,80.8083114624023
116,Ecuador,ECU,1980,3.55,49.73735046386721,88.0740509033203
117,Ecuador,ECU,2000,6.98,57.846920013427706,97.6455535888672
