Country,happy,degree25
Afghanistan,2.40,3.07
Australia,7.16,35.02
Austria,7.16,15.36
Belgium,6.80,35.30
Canada,7.03,25.75
Denmark,7.64,33.09
Egypt,4.23,6.17
Estonia,6.34,30.85
Finland,7.82,25.94
France,6.69,19.70
Germany,7.03,25.15
Greece,5.95,26.04
Italy,6.47,16.55
Malta,6.45,21.84
Mexico,6.13,17.13
Moldova,5.86,20.05
Mongolia,5.76,32.60
Mozambique,5.05,1.83
Myanmar,4.39,9.35
Netherlands,7.41,34.77
New Zealand,7.20,32.28
Slovenia,6.63,21.51
Sweden,7.38,25.09
United Kingdom,6.94,37.28
United States,6.98,37.52
