Country,happy,degree25
Afghanistan,2.4,3.07
Albania,5.2,12.9
Australia,7.16,35.02
Austria,7.16,15.36
Belgium,6.8,35.3
Canada,7.03,25.75
Denmark,7.64,33.09
Egypt,4.23,6.17
Estonia,6.34,30.85
Finland,7.82,25.94
France,6.69,19.7
Germany,7.03,25.15
Greece,5.95,26.04
Italy,6.47,16.55
Malta,6.45,21.84
Mexico,6.13,17.13
Moldova,5.86,20.05
Mongolia,5.76,32.6
Mozambique,5.05,1.83
Myanmar,4.39,9.35
Netherlands,7.41,34.77
New Zealand,7.2,32.28
Slovenia,6.63,21.51
Sweden,7.38,25.09
United Kingdom,6.94,37.28
United States,6.98,37.52
Armenia,5.34,24.2
Bahrain,6.65,23.3
Bangladesh,5.16,14.1
Chile,6.17,14.6
Honduras,6.02,9.6
Mozambique,5.05,1.8
Nigeria,4.55,9
Poland,6.12,28
Serbia,6.18,15.5
Uruguay,6.47,11.8
Thailand,5.89,15.6
Zimbabwe,3,3.3
Singapore,6.48,33
Georgia,4.97,33.7
