,country,Code,Year,percentage
0,Afghanistan,AFG,1974,27.0889892578125
1,Afghanistan,AFG,1993,28.6519107818604
2,Afghanistan,AFG,2014,85.6925277709961
3,Albania,ALB,1999,97.3142471313477
4,Albania,ALB,2000,95.8898773193359
5,Albania,ALB,2001,94.3273468017578
6,Albania,ALB,2003,91.7103118896484
7,Albania,ALB,2004,91.1112899780273
8,Albania,ALB,2008,92.4632110595703
9,Albania,ALB,2009,91.19139862060553
10,Albania,ALB,2010,92.8130035400391
11,Albania,ALB,2011,95.4087066650391
12,Albania,ALB,2012,99.02426147460942
13,Albania,ALB,2013,99.1981964111328
14,Albania,ALB,2014,99.3960723876953
15,Algeria,DZA,1973,67.498046875
16,Algeria,DZA,1974,71.4016494750977
17,Algeria,DZA,1975,73.81182861328129
18,Algeria,DZA,1976,75.7845993041992
19,Algeria,DZA,1977,77.35272216796879
20,Algeria,DZA,1978,78.4079132080078
21,Algeria,DZA,1979,78.5041198730469
22,Algeria,DZA,1980,79.61676025390629
23,Algeria,DZA,1981,79.879508972168
24,Algeria,DZA,1982,79.5500411987305
25,Algeria,DZA,1983,78.88230895996091
26,Algeria,DZA,1984,79.9004364013672
27,Algeria,DZA,1985,80.24537658691409
28,Algeria,DZA,1986,81.3967819213867
29,Algeria,DZA,1987,82.70123291015629
30,Algeria,DZA,1988,83.8008117675781
31,Algeria,DZA,1989,84.8651809692383
32,Algeria,DZA,1990,85.3903884887695
33,Algeria,DZA,1991,87.1121673583984
34,Algeria,DZA,1992,88.1992721557617
35,Algeria,DZA,1993,87.71056365966801
36,Algeria,DZA,1994,87.6532974243164
37,Algeria,DZA,1995,87.8834075927734
38,Algeria,DZA,1996,87.43856811523442
39,Algeria,DZA,1997,86.9141693115234
40,Algeria,DZA,1999,89.7255325317383
41,Algeria,DZA,2000,90.5237197875977
42,Algeria,DZA,2001,92.64193725585942
43,Algeria,DZA,2002,93.91455078125
44,Algeria,DZA,2003,94.4528579711914
45,Algeria,DZA,2004,95.2220077514648
46,Algeria,DZA,2005,95.5387573242188
47,Algeria,DZA,2006,95.7594985961914
48,Algeria,DZA,2007,95.9753799438477
49,Algeria,DZA,2008,97.3411483764648
50,Algeria,DZA,2009,98.8084030151367
51,Algeria,DZA,2010,98.6604766845703
52,Algeria,DZA,2011,98.75006103515628
53,Algeria,DZA,2012,98.7547607421875
54,Algeria,DZA,2013,98.8349227905273
55,Algeria,DZA,2014,98.7721176147461
56,Angola,AGO,1982,47.8443717956543
57,Angola,AGO,1983,44.5082092285156
58,Angola,AGO,1998,49.6805686950684
59,Angola,AGO,2008,87.72509765625
60,Angola,AGO,2009,86.7434921264648
61,Angola,AGO,2010,87.8922882080078
62,Angola,AGO,2011,87.862060546875
63,Antigua and Barbuda,ATG,2007,93.4625778198242
64,Antigua and Barbuda,ATG,2008,94.55516815185553
65,Antigua and Barbuda,ATG,2009,93.3631134033203
66,Antigua and Barbuda,ATG,2010,89.47899627685551
67,Antigua and Barbuda,ATG,2011,89.64013671875
68,Antigua and Barbuda,ATG,2012,86.5798797607422
69,Antigua and Barbuda,ATG,2014,86.4725494384766
70,Argentina,ARG,1970,94.9729385375977
71,Argentina,ARG,1974,96.6124801635742
72,Argentina,ARG,1975,96.38580322265628
73,Argentina,ARG,1987,94.5409088134766
74,Argentina,ARG,1991,96.2538223266602
75,Argentina,ARG,1997,100.0
76,Argentina,ARG,1998,99.9376373291016
77,Argentina,ARG,1999,99.9596176147461
78,Argentina,ARG,2000,99.7603530883789
79,Argentina,ARG,2001,99.82113647460942
80,Argentina,ARG,2002,99.8323211669922
81,Argentina,ARG,2003,99.7799530029297
82,Argentina,ARG,2004,99.4209976196289
83,Argentina,ARG,2005,99.5558624267578
84,Argentina,ARG,2006,99.6809463500977
85,Argentina,ARG,2007,99.79312133789058
86,Argentina,ARG,2008,99.7325286865234
87,Argentina,ARG,2009,99.7156219482422
88,Argentina,ARG,2010,99.3311996459961
89,Argentina,ARG,2011,99.3594284057617
90,Argentina,ARG,2012,99.3447723388672
91,Argentina,ARG,2013,99.5005035400391
92,Armenia,ARM,2002,87.31713104248051
