,region,price,description,dateStata,dateISO,year
0,5,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
1,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
2,2,2.6900001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
3,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
4,11,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
5,9,2.29,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
6,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
7,4,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
8,4,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
9,12,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
10,2,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
11,12,4.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
12,3,2.74,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
13,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
14,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
15,5,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
16,6,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
17,5,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
18,11,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
19,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
20,13,2.8499999,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
21,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
22,13,4.9899998,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
23,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
24,5,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
25,8,3.9000001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
26,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
27,5,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
28,4,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
29,5,3.6900001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
30,7,2.29,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
31,10,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
32,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
33,7,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020
