,region,price,description,dateStata,dateISO,year,month
0,5,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
1,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
2,2,2.6900001,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
3,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
4,11,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
5,9,2.29,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
6,3,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
7,4,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
8,4,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
9,12,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
10,2,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
11,12,4.0,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
12,3,2.74,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
13,3,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
14,2,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
15,5,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
16,6,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
17,5,2.3,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
18,11,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
19,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
20,13,2.8499999,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
21,8,2.2,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
22,13,4.9899998,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
23,9,2.49,INDIGESTION TABLETS 16-24 PACK,01-10-2020,2020-10-01,2020,10
