,Date,company,closeprice
0,2018-01-04,BB,13.36999989
1,2018-01-05,BB,13.82999992
2,2018-01-08,BB,14.11999989
3,2018-01-09,BB,14.39999962
4,2018-01-10,BB,13.67000008
5,2018-01-11,BB,13.44999981
6,2018-01-12,BB,13.64999962
7,2018-01-16,BB,13.81000042
8,2018-01-17,BB,13.67000008
9,2018-01-18,BB,13.25
10,2018-01-19,BB,13.31000042
11,2018-01-22,BB,13.27999973
12,2018-01-23,BB,13.52999973
13,2018-01-24,BB,13.25
14,2018-01-25,BB,13.05000019
15,2018-01-26,BB,13.43000031
16,2018-01-29,BB,13.0
17,2018-01-30,BB,12.57999992
18,2018-01-31,BB,12.65999985
19,2018-02-01,BB,12.89999962
20,2018-02-02,BB,12.40999985
21,2018-02-05,BB,11.85999966
22,2018-02-06,BB,12.0
23,2018-02-07,BB,11.75
24,2018-02-08,BB,11.40999985
25,2018-02-09,BB,11.60999966
26,2018-02-12,BB,11.72999954
27,2018-02-13,BB,11.77000046
28,2018-02-14,BB,12.10000038
29,2018-02-15,BB,12.11999989
30,2018-02-16,BB,12.06000042
31,2018-02-20,BB,12.10999966
32,2018-02-21,BB,12.19999981
33,2018-02-22,BB,11.90999985
34,2018-02-23,BB,12.55000019
35,2018-02-26,BB,12.57999992
36,2018-02-27,BB,12.35000038
37,2018-02-28,BB,12.14000034
38,2018-03-01,BB,12.10999966
39,2018-03-02,BB,12.35999966
40,2018-03-05,BB,12.39000034
41,2018-03-06,BB,12.43999958
42,2018-03-07,BB,12.5
43,2018-03-08,BB,12.89000034
44,2018-03-09,BB,12.86999989
45,2018-03-12,BB,12.81999969
46,2018-03-13,BB,12.60999966
47,2018-03-14,BB,12.80000019
48,2018-03-15,BB,13.25
49,2018-03-16,BB,12.94999981
50,2018-03-19,BB,12.72000027
51,2018-03-20,BB,13.07999992
52,2018-03-21,BB,13.15999985
53,2018-03-22,BB,12.81999969
54,2018-03-23,BB,12.43999958
55,2018-03-26,BB,13.09000015
56,2018-03-27,BB,12.39999962
57,2018-03-28,BB,12.19999981
58,2018-03-29,BB,11.5
59,2018-04-02,BB,10.72000027
60,2018-04-03,BB,10.43999958
61,2018-04-04,BB,10.52999973
62,2018-04-05,BB,10.47000027
63,2018-04-06,BB,10.18999958
64,2018-04-09,BB,10.18000031
65,2018-04-10,BB,10.63000011
66,2018-04-11,BB,10.35000038
67,2018-04-12,BB,10.53999996
68,2018-04-13,BB,10.5
69,2018-04-16,BB,10.51000023
70,2018-04-17,BB,10.77000046
71,2018-04-18,BB,10.78999996
72,2018-04-19,BB,10.60000038
73,2018-04-20,BB,10.63000011
74,2018-04-23,BB,10.64000034
75,2018-04-24,BB,10.39999962
76,2018-04-25,BB,10.36999989
77,2018-04-26,BB,10.55000019
78,2018-04-27,BB,10.44999981
79,2018-04-30,BB,10.47000027
80,2018-05-01,BB,10.52999973
81,2018-05-02,BB,10.85000038
82,2018-05-03,BB,10.71000004
83,2018-05-04,BB,10.84000015
84,2018-05-07,BB,10.98999977
85,2018-05-08,BB,11.11999989
86,2018-05-09,BB,11.57999992
87,2018-05-10,BB,11.88000011
88,2018-05-11,BB,11.60000038
89,2018-05-14,BB,11.61999989
90,2018-05-15,BB,11.69999981
91,2018-05-16,BB,11.60999966
92,2018-05-17,BB,11.57999992
93,2018-05-18,BB,11.53999996
94,2018-05-21,BB,11.52000046
95,2018-05-22,BB,11.59000015
96,2018-05-23,BB,11.60000038
97,2018-05-24,BB,11.56999969
98,2018-05-25,BB,11.75
99,2018-05-29,BB,11.72999954
100,2018-05-30,BB,11.89999962
101,2018-05-31,BB,11.82999992
102,2018-06-01,BB,11.64000034
103,2018-06-04,BB,11.90999985
104,2018-06-05,BB,12.15999985
105,2018-06-06,BB,12.53999996
106,2018-06-07,BB,12.25
107,2018-06-08,BB,12.10000038
108,2018-06-11,BB,12.06999969
109,2018-06-12,BB,12.32999992
110,2018-06-13,BB,12.32999992
111,2018-06-14,BB,12.22000027
112,2018-06-15,BB,12.31000042
113,2018-06-18,BB,12.19999981
114,2018-06-19,BB,11.89000034
115,2018-06-20,BB,11.89999962
116,2018-06-21,BB,11.69999981
117,2018-06-22,BB,10.68000031
118,2018-06-25,BB,10.01000023
119,2018-06-26,BB,10.11999989
120,2018-06-27,BB,9.699999809
121,2018-06-28,BB,9.760000229
122,2018-06-29,BB,9.649999619
123,2018-07-02,BB,9.960000038
124,2018-07-03,BB,10.0
125,2018-07-05,BB,9.800000191
126,2018-07-06,BB,9.920000076
127,2018-07-09,BB,10.03999996
128,2018-07-10,BB,10.07999992
129,2018-07-11,BB,9.880000114
130,2018-07-12,BB,10.09000015
131,2018-07-13,BB,10.19999981
132,2018-07-16,BB,10.10000038
133,2018-07-17,BB,10.10999966
134,2018-07-18,BB,10.01000023
135,2018-07-19,BB,10.32999992
136,2018-07-20,BB,10.27999973
137,2018-07-23,BB,10.39000034
138,2018-07-24,BB,10.22999954
139,2018-07-25,BB,10.31999969
140,2018-07-26,BB,10.26000023
141,2018-07-27,BB,9.989999771
142,2018-07-30,BB,9.699999809
143,2018-07-31,BB,9.81000042
144,2018-08-01,BB,9.739999771
145,2018-08-02,BB,10.01000023
146,2018-08-03,BB,10.06999969
147,2018-08-06,BB,10.18999958
148,2018-08-07,BB,9.850000381
149,2018-08-08,BB,10.31999969
150,2018-08-09,BB,10.46000004
151,2018-08-10,BB,10.30000019
152,2018-08-13,BB,10.28999996
153,2018-08-14,BB,10.22000027
154,2018-08-15,BB,9.949999809
155,2018-08-16,BB,10.07999992
156,2018-08-17,BB,10.06999969
157,2018-08-20,BB,10.14000034
158,2018-08-21,BB,10.11999989
159,2018-08-22,BB,10.17000008
160,2018-08-23,BB,10.26000023
161,2018-08-24,BB,10.60000038
162,2018-08-27,BB,10.77999973
163,2018-08-28,BB,10.93999958
164,2018-08-29,BB,10.81999969
165,2018-08-30,BB,10.60000038
166,2018-08-31,BB,10.67000008
167,2018-09-04,BB,10.64000034
168,2018-09-05,BB,9.970000267
169,2018-09-06,BB,9.850000381
170,2018-09-07,BB,10.02000046
171,2018-09-10,BB,9.970000267
172,2018-09-11,BB,10.30000019
173,2018-09-12,BB,10.27999973
174,2018-09-13,BB,10.26000023
175,2018-09-14,BB,10.30000019
176,2018-09-17,BB,10.10999966
177,2018-09-18,BB,10.26000023
178,2018-09-19,BB,10.21000004
179,2018-09-20,BB,10.34000015
180,2018-09-21,BB,10.40999985
181,2018-09-24,BB,10.42000008
182,2018-09-25,BB,10.39999962
183,2018-09-26,BB,10.31999969
184,2018-09-27,BB,10.18999958
185,2018-09-28,BB,11.38000011
186,2018-10-01,BB,10.82999992
187,2018-10-02,BB,10.35999966
188,2018-10-03,BB,10.56000042
189,2018-10-04,BB,10.26000023
190,2018-10-05,BB,10.02000046
191,2018-10-08,BB,9.93999958
192,2018-10-09,BB,9.760000229
193,2018-10-10,BB,9.25
194,2018-10-11,BB,9.510000229
195,2018-10-12,BB,9.600000381
196,2018-10-15,BB,9.470000267
197,2018-10-16,BB,9.770000458
198,2018-10-17,BB,9.739999771
199,2018-10-18,BB,9.609999657
200,2018-10-19,BB,9.319999695
201,2018-10-22,BB,9.470000267
202,2018-10-23,BB,9.359999657
203,2018-10-24,BB,8.829999924
204,2018-10-25,BB,9.140000343
205,2018-10-26,BB,8.960000038
206,2018-10-29,BB,8.81000042
207,2018-10-30,BB,9.020000458
208,2018-10-31,BB,9.25
209,2018-11-01,BB,9.529999733
210,2018-11-02,BB,9.369999886
211,2018-11-05,BB,9.340000153
212,2018-11-06,BB,9.43999958
213,2018-11-07,BB,9.630000114
214,2018-11-08,BB,9.569999695
215,2018-11-09,BB,9.300000191
216,2018-11-12,BB,8.960000038
217,2018-11-13,BB,8.960000038
218,2018-11-14,BB,8.840000153
219,2018-11-15,BB,8.859999657
220,2018-11-16,BB,8.970000267
221,2018-11-19,BB,8.590000153
222,2018-11-20,BB,8.659999847
223,2018-11-21,BB,8.779999733
224,2018-11-23,BB,8.670000076
225,2018-11-26,BB,8.93999958
226,2018-11-27,BB,8.859999657
227,2018-11-28,BB,8.909999847
228,2018-11-29,BB,8.800000191
229,2018-11-30,BB,8.789999962
230,2018-12-03,BB,8.840000153
231,2018-12-04,BB,8.409999847
232,2018-12-06,BB,8.260000229
233,2018-12-07,BB,8.0
234,2018-12-10,BB,7.900000095
235,2018-12-11,BB,7.860000134
236,2018-12-12,BB,7.96999979
237,2018-12-13,BB,7.710000038
238,2018-12-14,BB,7.599999905
239,2018-12-17,BB,7.440000057
240,2018-12-18,BB,7.46999979
241,2018-12-19,BB,7.349999905
242,2018-12-20,BB,7.550000191
243,2018-12-21,BB,6.909999847
244,2018-12-24,BB,6.769999981
245,2018-12-26,BB,7.0
246,2018-12-27,BB,7.050000191
247,2018-12-28,BB,7.159999847
248,2018-12-31,BB,7.110000134
249,2019-01-02,BB,7.110000134
250,2019-01-03,BB,6.880000114
251,2019-01-04,BB,7.230000019
252,2019-01-07,BB,7.429999828
253,2019-01-08,BB,7.409999847
254,2019-01-09,BB,7.46999979
255,2019-01-10,BB,7.519999981
256,2019-01-11,BB,7.570000172
257,2019-01-14,BB,7.489999771
258,2019-01-15,BB,7.53000021
259,2019-01-16,BB,7.659999847
260,2019-01-17,BB,7.690000057
261,2019-01-18,BB,7.860000134
262,2019-01-22,BB,7.599999905
263,2019-01-23,BB,7.71999979
264,2019-01-24,BB,7.769999981
265,2019-01-25,BB,8.100000381
266,2019-01-28,BB,8.010000229
267,2019-01-29,BB,7.960000038
268,2019-01-30,BB,8.130000114
269,2019-01-31,BB,8.069999695
270,2019-02-01,BB,8.109999657
271,2019-02-04,BB,8.220000267
272,2019-02-05,BB,8.340000153
273,2019-02-06,BB,8.31000042
274,2019-02-07,BB,8.100000381
275,2019-02-08,BB,8.109999657
276,2019-02-11,BB,8.260000229
277,2019-02-12,BB,8.420000076
278,2019-02-13,BB,8.489999771
279,2019-02-14,BB,8.489999771
280,2019-02-15,BB,8.699999809
281,2019-02-19,BB,8.739999771
282,2019-02-20,BB,8.520000458
283,2019-02-21,BB,8.369999886
284,2019-02-22,BB,8.630000114
285,2019-02-25,BB,8.75
286,2019-02-26,BB,8.670000076
287,2019-02-27,BB,8.680000305
288,2019-02-28,BB,8.699999809
289,2019-03-01,BB,8.789999962
290,2019-03-04,BB,8.739999771
291,2019-03-05,BB,8.710000038
292,2019-03-06,BB,9.079999924
293,2019-03-07,BB,9.020000458
294,2019-03-08,BB,9.180000305
295,2019-03-11,BB,9.260000229
296,2019-03-12,BB,9.430000305
297,2019-03-13,BB,9.43999958
298,2019-03-14,BB,9.359999657
299,2019-03-15,BB,9.420000076
300,2019-03-18,BB,9.399999619
301,2019-03-19,BB,9.359999657
302,2019-03-20,BB,9.369999886
303,2019-03-21,BB,9.359999657
304,2019-03-22,BB,9.020000458
305,2019-03-25,BB,8.829999924
306,2019-03-26,BB,8.819999695
307,2019-03-27,BB,8.760000229
308,2019-03-28,BB,8.880000114
309,2019-03-29,BB,10.09000015
310,2019-04-01,BB,9.619999886
311,2019-04-02,BB,9.600000381
312,2019-04-03,BB,9.579999924
313,2019-04-04,BB,9.31000042
314,2019-04-05,BB,9.319999695
315,2019-04-08,BB,9.359999657
316,2019-04-09,BB,9.31000042
317,2019-04-10,BB,9.300000191
318,2019-04-11,BB,9.369999886
319,2019-04-12,BB,9.270000458
320,2019-04-15,BB,9.199999809
321,2019-04-16,BB,9.300000191
322,2019-04-17,BB,9.210000038
323,2019-04-18,BB,9.210000038
324,2019-04-22,BB,9.260000229
325,2019-04-23,BB,9.199999809
326,2019-04-24,BB,8.909999847
327,2019-04-25,BB,9.050000191
328,2019-04-26,BB,9.18999958
329,2019-04-29,BB,9.289999962
330,2019-04-30,BB,9.180000305
331,2019-05-01,BB,9.069999695
332,2019-05-02,BB,9.220000267
333,2019-05-03,BB,9.390000343
334,2019-05-06,BB,9.159999847
335,2019-05-07,BB,8.989999771
336,2019-05-08,BB,8.930000305
337,2019-05-09,BB,8.840000153
338,2019-05-10,BB,8.829999924
339,2019-05-13,BB,8.359999657
340,2019-05-14,BB,8.470000267
341,2019-05-15,BB,8.569999695
342,2019-05-16,BB,8.630000114
343,2019-05-17,BB,8.449999809
344,2019-05-20,BB,8.18999958
345,2019-05-21,BB,8.25
346,2019-05-22,BB,8.31000042
347,2019-05-23,BB,8.039999962
348,2019-05-24,BB,8.069999695
349,2019-05-28,BB,8.050000191
350,2019-05-29,BB,7.900000095
351,2019-05-30,BB,7.920000076
352,2019-05-31,BB,7.849999905
353,2019-06-03,BB,7.809999943
354,2019-06-04,BB,8.039999962
355,2019-06-05,BB,7.900000095
356,2019-06-06,BB,7.840000153
357,2019-06-07,BB,7.940000057
358,2019-06-10,BB,7.920000076
359,2019-06-11,BB,8.260000229
360,2019-06-12,BB,8.729999542
361,2019-06-13,BB,8.680000305
362,2019-06-14,BB,8.550000191
363,2019-06-17,BB,8.609999657
364,2019-06-18,BB,8.720000267
365,2019-06-19,BB,8.960000038
366,2019-06-20,BB,8.640000343
367,2019-06-21,BB,8.479999542
368,2019-06-24,BB,8.470000267
369,2019-06-25,BB,8.289999962
370,2019-06-26,BB,7.559999943
371,2019-06-27,BB,7.380000114
372,2019-06-28,BB,7.460000038
373,2019-07-01,BB,7.480000019
374,2019-07-02,BB,7.449999809
375,2019-07-03,BB,7.53000021
376,2019-07-05,BB,7.409999847
377,2019-07-08,BB,7.130000114
378,2019-07-09,BB,7.25
379,2019-07-10,BB,7.070000172
380,2019-07-11,BB,7.099999905
381,2019-07-12,BB,7.199999809
382,2019-07-15,BB,7.190000057
383,2019-07-16,BB,7.139999866
384,2019-07-17,BB,7.099999905
385,2019-07-18,BB,7.03000021
386,2019-07-19,BB,7.079999924
387,2019-07-22,BB,7.119999886
388,2019-07-23,BB,7.230000019
389,2019-07-24,BB,7.300000191
390,2019-07-25,BB,7.21999979
391,2019-07-26,BB,7.369999886
392,2019-07-29,BB,7.340000153
393,2019-07-30,BB,7.429999828
394,2019-07-31,BB,7.300000191
395,2019-08-01,BB,7.269999981
396,2019-08-02,BB,7.139999866
397,2019-08-05,BB,6.849999905
398,2019-08-06,BB,6.78000021
399,2019-08-07,BB,6.829999924
400,2019-08-08,BB,7.059999943
401,2019-08-09,BB,6.960000038
402,2019-08-12,BB,6.840000153
403,2019-08-13,BB,7.0
404,2019-08-14,BB,6.75
405,2019-08-15,BB,6.679999828
406,2019-08-16,BB,6.849999905
407,2019-08-19,BB,6.960000038
408,2019-08-20,BB,6.889999866
409,2019-08-21,BB,7.090000153
410,2019-08-22,BB,7.039999962
411,2019-08-23,BB,6.980000019
412,2019-08-26,BB,6.860000134
413,2019-08-27,BB,6.730000019
414,2019-08-28,BB,6.809999943
415,2019-08-29,BB,6.960000038
416,2019-08-30,BB,6.869999886
417,2019-09-03,BB,6.760000229
