state,units
Alabama,2313642
Alaska,327890
Arizona,3138871
Arkansas,1380728
California,14512281
Colorado,2540822
Connecticut,1536344
Delaware,457954
District of Columbia,357489
Florida,10054457
Georgia,4475274
Hawaii,564908
Idaho,775267
Illinois,5440401
Indiana,2950185
Iowa,1426108
Kansas,1284344
Kentucky,2008239
Louisiana,2093393
Maine,745334
Maryland,2546344
Massachusetts,3017901
Michigan,4590528
Minnesota,2517248
Mississippi,1332050
Missouri,2807604
Montana,521892
Nebraska,854328
Nevada,1305509
New Hampshire,643981
New Jersey,3780004
New Mexico,948110
New York,8531063
North Carolina,4801712
North Dakota,374447
Ohio,5269638
Oklahoma,1762129
Oregon,1837079
Pennsylvania,5770601
Rhode Island,484902
South Carolina,2395943
South Dakota,400780
Tennessee,3087963
Texas,11869072
Utah,1190107
Vermont,336779
Virginia,3652388
Washington,3257185
West Virginia,858481
Wisconsin,2748940
Wyoming,274371
